index,true_label,pred_a,pred_b
2,ship,ship,automobile
15,ship,ship,frog
25,bird,bird,deer
32,deer,frog,deer
35,bird,cat,bird
47,truck,airplane,truck
56,horse,horse,deer
57,horse,cat,horse
58,deer,horse,dog
76,truck,truck,airplane
86,bird,bird,cat
91,cat,bird,cat
95,frog,cat,frog
118,bird,frog,bird
125,airplane,truck,airplane
139,truck,automobile,airplane
147,bird,frog,dog
150,ship,ship,airplane
158,dog,dog,cat
188,deer,cat,bird
195,bird,bird,deer
201,automobile,automobile,airplane
211,deer,truck,deer
213,truck,truck,ship
214,ship,ship,frog
224,cat,deer,cat
226,frog,frog,cat
228,horse,cat,horse
237,airplane,horse,bird
238,dog,dog,cat
245,cat,bird,frog
255,airplane,airplane,cat
264,airplane,ship,airplane
265,ship,airplane,ship
275,dog,cat,dog
277,cat,dog,deer
287,airplane,ship,airplane
293,truck,automobile,truck
302,cat,dog,cat
306,ship,ship,truck
313,airplane,airplane,bird
316,horse,horse,deer
338,airplane,bird,airplane
341,frog,bird,frog
356,cat,dog,cat
357,bird,cat,bird
370,deer,cat,deer
373,deer,deer,cat
376,airplane,truck,bird
383,truck,truck,airplane
385,ship,ship,airplane
387,bird,bird,deer
396,bird,dog,bird
397,cat,horse,cat
411,truck,truck,airplane
423,airplane,horse,airplane
430,bird,deer,bird
433,horse,horse,deer
439,automobile,automobile,truck
446,dog,cat,bird
449,bird,airplane,bird
463,deer,deer,bird
485,truck,truck,horse
488,dog,dog,deer
518,dog,horse,cat
537,bird,bird,frog
551,dog,horse,cat
562,frog,frog,cat
565,cat,dog,cat
601,dog,dog,cat
629,automobile,automobile,truck
631,dog,dog,bird
640,dog,dog,cat
671,cat,dog,cat
672,frog,bird,frog
675,airplane,ship,airplane
677,automobile,automobile,truck
679,dog,dog,cat
680,truck,automobile,truck
687,frog,frog,bird
720,deer,horse,deer
725,bird,airplane,bird
727,cat,bird,airplane
734,truck,automobile,ship
746,frog,deer,frog
751,bird,bird,airplane
770,frog,cat,airplane
773,deer,frog,deer
775,bird,bird,deer
779,dog,dog,frog
792,cat,dog,frog
794,horse,horse,bird
796,automobile,automobile,deer
799,bird,frog,deer
807,deer,deer,frog
811,cat,dog,bird
828,dog,dog,deer
836,automobile,automobile,truck
845,cat,cat,airplane
863,cat,dog,cat
881,deer,cat,deer
888,airplane,airplane,bird
892,horse,horse,dog
900,bird,cat,frog
905,horse,horse,cat
910,dog,deer,dog
916,cat,cat,deer
920,frog,frog,deer
923,truck,truck,deer
926,ship,ship,bird
953,automobile,ship,automobile
956,airplane,bird,airplane
957,cat,dog,cat
972,bird,cat,frog
982,airplane,horse,bird
989,airplane,ship,airplane
993,deer,deer,horse
